tenor,rate,indexname
1y,2.37,UKRPI
2y,2.37,UKRPI
3y,2.4,UKRPI
4y,2.9,UKRPI
5y,3.18,UKRPI
6y,3.21,UKRPI
7y,3.25,UKRPI
8y,3.29,UKRPI
9y,3.30,UKRPI
10y,3.33,UKRPI
12y,3.27,UKRPI
15y,3.18,UKRPI
20y,3.08,UKRPI
30y,2.76,UKRPI
40y,2.63,UKRPI
50y,2.57,UKRPI
1y,0.1,SONIA
2y,0.14,SONIA
3y,0.15,SONIA
4y,0.19,SONIA
5y,0.23,SONIA
6y,0.24,SONIA
7y,0.24,SONIA
8y,0.26,SONIA
9y,0.28,SONIA
10y,0.31,SONIA
12y,0.32,SONIA
15y,0.34,SONIA
20y,0.33,SONIA
30y,0.31,SONIA
40y,0.27,SONIA
50y,0.25,SONIA

